"dispatch_date","crime_group","frequency"
"2024-02-12","Drug_and_Vice_Crimes","12"
"2024-02-12","Public_Order_Crimes","6"
"2024-02-13","Property_Crimes","222"
"2024-02-13","Violent_Crimes","93"
"2024-02-13","Other_Crimes","68"
"2024-02-13","Drug_and_Vice_Crimes","12"
"2024-02-13","Public_Order_Crimes","2"
"2024-02-14","Property_Crimes","200"
"2024-02-14","Violent_Crimes","114"
"2024-02-14","Other_Crimes","93"
"2024-02-14","Drug_and_Vice_Crimes","24"
"2024-02-14","Public_Order_Crimes","3"
"2024-02-15","Property_Crimes","209"
"2024-02-15","Violent_Crimes","115"
"2024-02-15","Other_Crimes","76"
"2024-02-15","Drug_and_Vice_Crimes","11"
"2024-02-15","Public_Order_Crimes","1"
"2024-02-16","Property_Crimes","210"
"2024-02-16","Violent_Crimes","100"
"2024-02-16","Other_Crimes","87"
"2024-02-16","Drug_and_Vice_Crimes","17"
"2024-02-16","Public_Order_Crimes","6"
"2024-02-17","Property_Crimes","183"
"2024-02-17","Violent_Crimes","83"
"2024-02-17","Other_Crimes","50"
"2024-02-17","Drug_and_Vice_Crimes","7"
"2024-02-17","Public_Order_Crimes","6"
"2024-02-18","Property_Crimes","194"
"2024-02-18","Violent_Crimes","101"
"2024-02-18","Other_Crimes","63"
"2024-02-18","Drug_and_Vice_Crimes","8"
"2024-02-18","Public_Order_Crimes","4"
"2024-02-19","Property_Crimes","228"
"2024-02-19","Violent_Crimes","85"
"2024-02-19","Other_Crimes","54"
"2024-02-19","Drug_and_Vice_Crimes","14"
"2024-02-19","Public_Order_Crimes","3"
"2024-02-20","Property_Crimes","221"
"2024-02-20","Violent_Crimes","136"
"2024-02-20","Other_Crimes","96"
"2024-02-20","Drug_and_Vice_Crimes","15"
"2024-02-20","Public_Order_Crimes","2"
"2024-02-21","Property_Crimes","207"
"2024-02-21","Violent_Crimes","106"
"2024-02-21","Other_Crimes","87"
"2024-02-21","Drug_and_Vice_Crimes","16"
"2024-02-22","Property_Crimes","194"
"2024-02-22","Other_Crimes","96"
"2024-02-22","Violent_Crimes","85"
"2024-02-22","Drug_and_Vice_Crimes","13"
"2024-02-22","Public_Order_Crimes","5"
"2024-02-23","Property_Crimes","191"
"2024-02-23","Violent_Crimes","93"
"2024-02-23","Other_Crimes","87"
"2024-02-23","Drug_and_Vice_Crimes","22"
"2024-02-23","Public_Order_Crimes","7"
"2024-02-24","Property_Crimes","198"
"2024-02-24","Violent_Crimes","104"
"2024-02-24","Other_Crimes","53"
"2024-02-24","Drug_and_Vice_Crimes","8"
"2024-02-24","Public_Order_Crimes","5"
"2024-02-25","Property_Crimes","167"
"2024-02-25","Violent_Crimes","103"
"2024-02-25","Other_Crimes","55"
"2024-02-25","Drug_and_Vice_Crimes","6"
"2024-02-25","Public_Order_Crimes","5"
"2024-02-26","Property_Crimes","234"
"2024-02-26","Violent_Crimes","90"
"2024-02-26","Other_Crimes","69"
"2024-02-26","Drug_and_Vice_Crimes","9"
"2024-02-26","Public_Order_Crimes","3"
"2024-02-27","Property_Crimes","211"
"2024-02-27","Violent_Crimes","107"
"2024-02-27","Other_Crimes","68"
"2024-02-27","Drug_and_Vice_Crimes","15"
"2024-02-27","Public_Order_Crimes","7"
"2024-02-28","Property_Crimes","194"
"2024-02-28","Violent_Crimes","124"
"2024-02-28","Other_Crimes","90"
"2024-02-28","Drug_and_Vice_Crimes","16"
"2024-02-28","Public_Order_Crimes","4"
"2024-02-29","Property_Crimes","220"
"2024-02-29","Violent_Crimes","111"
"2024-02-29","Other_Crimes","58"
"2024-02-29","Drug_and_Vice_Crimes","18"
"2024-02-29","Public_Order_Crimes","2"
"2024-03-01","Property_Crimes","178"
"2024-03-01","Violent_Crimes","87"
"2024-03-01","Other_Crimes","87"
"2024-03-01","Drug_and_Vice_Crimes","16"
"2024-03-01","Public_Order_Crimes","3"
"2024-03-02","Property_Crimes","153"
"2024-03-02","Violent_Crimes","85"
"2024-03-02","Other_Crimes","85"
"2024-03-02","Drug_and_Vice_Crimes","8"
"2024-03-02","Public_Order_Crimes","6"
"2024-03-03","Property_Crimes","204"
"2024-03-03","Violent_Crimes","89"
"2024-03-03","Other_Crimes","56"
"2024-03-03","Drug_and_Vice_Crimes","11"
"2024-03-03","Public_Order_Crimes","2"
"2024-03-04","Property_Crimes","219"
"2024-03-04","Violent_Crimes","107"
"2024-03-04","Other_Crimes","81"
"2024-03-04","Drug_and_Vice_Crimes","12"
"2024-03-04","Public_Order_Crimes","3"
"2024-03-05","Property_Crimes","211"
"2024-03-05","Violent_Crimes","93"
"2024-03-05","Other_Crimes","87"
"2024-03-05","Drug_and_Vice_Crimes","19"
"2024-03-06","Property_Crimes","196"
"2024-03-06","Violent_Crimes","92"
"2024-03-06","Other_Crimes","88"
"2024-03-06","Drug_and_Vice_Crimes","16"
"2024-03-06","Public_Order_Crimes","5"
"2024-03-07","Property_Crimes","233"
"2024-03-07","Violent_Crimes","114"
"2024-03-07","Other_Crimes","93"
"2024-03-07","Drug_and_Vice_Crimes","17"
"2024-03-07","Public_Order_Crimes","1"
"2024-03-08","Property_Crimes","208"
"2024-03-08","Violent_Crimes","93"
"2024-03-08","Other_Crimes","65"
"2024-03-08","Drug_and_Vice_Crimes","21"
"2024-03-08","Public_Order_Crimes","6"
"2024-03-09","Property_Crimes","170"
"2024-03-09","Violent_Crimes","89"
"2024-03-09","Other_Crimes","52"
"2024-03-09","Public_Order_Crimes","6"
"2024-03-09","Drug_and_Vice_Crimes","4"
"2024-03-10","Property_Crimes","193"
"2024-03-10","Violent_Crimes","59"
"2024-03-10","Other_Crimes","51"
"2024-03-10","Public_Order_Crimes","7"
"2024-03-10","Drug_and_Vice_Crimes","5"
"2024-03-11","Property_Crimes","243"
"2024-03-11","Violent_Crimes","108"
"2024-03-11","Other_Crimes","65"
"2024-03-11","Drug_and_Vice_Crimes","13"
"2024-03-11","Public_Order_Crimes","1"
"2024-03-12","Property_Crimes","188"
"2024-03-12","Violent_Crimes","110"
"2024-03-12","Other_Crimes","73"
"2024-03-12","Drug_and_Vice_Crimes","23"
"2024-03-12","Public_Order_Crimes","2"
"2024-03-13","Property_Crimes","201"
"2024-03-13","Violent_Crimes","123"
"2024-03-13","Other_Crimes","64"
"2024-03-13","Drug_and_Vice_Crimes","12"
"2024-03-13","Public_Order_Crimes","2"
"2024-03-14","Property_Crimes","223"
"2024-03-14","Violent_Crimes","121"
"2024-03-14","Other_Crimes","65"
"2024-03-14","Drug_and_Vice_Crimes","19"
"2024-03-14","Public_Order_Crimes","2"
"2024-03-15","Property_Crimes","216"
"2024-03-15","Violent_Crimes","130"
"2024-03-15","Other_Crimes","76"
"2024-03-15","Drug_and_Vice_Crimes","13"
"2024-03-15","Public_Order_Crimes","3"
"2024-03-16","Property_Crimes","212"
"2024-03-16","Violent_Crimes","98"
"2024-03-16","Other_Crimes","56"
"2024-03-16","Drug_and_Vice_Crimes","6"
"2024-03-16","Public_Order_Crimes","6"
"2024-03-17","Property_Crimes","192"
"2024-03-17","Violent_Crimes","108"
"2024-03-17","Other_Crimes","44"
"2024-03-17","Drug_and_Vice_Crimes","12"
"2024-03-17","Public_Order_Crimes","5"
"2024-03-18","Property_Crimes","267"
"2024-03-18","Violent_Crimes","125"
"2024-03-18","Other_Crimes","74"
"2024-03-18","Drug_and_Vice_Crimes","14"
"2024-03-19","Property_Crimes","225"
"2024-03-19","Violent_Crimes","113"
"2024-03-19","Other_Crimes","70"
"2024-03-19","Drug_and_Vice_Crimes","16"
"2024-03-19","Public_Order_Crimes","4"
"2024-03-20","Property_Crimes","242"
"2024-03-20","Violent_Crimes","98"
"2024-03-20","Other_Crimes","64"
"2024-03-20","Drug_and_Vice_Crimes","13"
"2024-03-20","Public_Order_Crimes","3"
"2024-03-21","Property_Crimes","204"
"2024-03-21","Violent_Crimes","116"
"2024-03-21","Other_Crimes","64"
"2024-03-21","Drug_and_Vice_Crimes","13"
"2024-03-21","Public_Order_Crimes","7"
"2024-03-22","Property_Crimes","226"
"2024-03-22","Violent_Crimes","120"
"2024-03-22","Other_Crimes","72"
"2024-03-22","Drug_and_Vice_Crimes","9"
"2024-03-22","Public_Order_Crimes","4"
"2024-03-23","Property_Crimes","169"
"2024-03-23","Violent_Crimes","79"
"2024-03-23","Other_Crimes","26"
"2024-03-23","Drug_and_Vice_Crimes","6"
"2024-03-23","Public_Order_Crimes","4"
"2024-03-24","Property_Crimes","204"
"2024-03-24","Violent_Crimes","91"
"2024-03-24","Other_Crimes","48"
"2024-03-24","Public_Order_Crimes","7"
"2024-03-24","Drug_and_Vice_Crimes","3"
"2024-03-25","Property_Crimes","261"
"2024-03-25","Violent_Crimes","89"
"2024-03-25","Other_Crimes","76"
"2024-03-25","Drug_and_Vice_Crimes","5"
"2024-03-25","Public_Order_Crimes","1"
"2024-03-26","Property_Crimes","222"
"2024-03-26","Violent_Crimes","102"
"2024-03-26","Other_Crimes","74"
"2024-03-26","Drug_and_Vice_Crimes","6"
"2024-03-26","Public_Order_Crimes","4"
"2024-03-27","Property_Crimes","242"
"2024-03-27","Violent_Crimes","93"
"2024-03-27","Other_Crimes","93"
"2024-03-27","Drug_and_Vice_Crimes","14"
"2024-03-27","Public_Order_Crimes","4"
"2024-03-28","Property_Crimes","226"
"2024-03-28","Violent_Crimes","116"
"2024-03-28","Other_Crimes","72"
"2024-03-28","Drug_and_Vice_Crimes","13"
"2024-03-28","Public_Order_Crimes","3"
"2024-03-29","Property_Crimes","227"
"2024-03-29","Violent_Crimes","111"
"2024-03-29","Other_Crimes","74"
"2024-03-29","Drug_and_Vice_Crimes","7"
"2024-03-29","Public_Order_Crimes","4"
"2024-03-30","Property_Crimes","197"
"2024-03-30","Violent_Crimes","92"
"2024-03-30","Other_Crimes","39"
"2024-03-30","Drug_and_Vice_Crimes","8"
"2024-03-30","Public_Order_Crimes","4"
"2024-03-31","Property_Crimes","210"
"2024-03-31","Violent_Crimes","76"
"2024-03-31","Other_Crimes","39"
"2024-03-31","Drug_and_Vice_Crimes","10"
"2024-03-31","Public_Order_Crimes","5"
"2024-04-01","Property_Crimes","216"
"2024-04-01","Violent_Crimes","106"
"2024-04-01","Other_Crimes","63"
"2024-04-01","Drug_and_Vice_Crimes","16"
"2024-04-01","Public_Order_Crimes","4"
"2024-04-02","Property_Crimes","186"
"2024-04-02","Violent_Crimes","98"
"2024-04-02","Other_Crimes","84"
"2024-04-02","Drug_and_Vice_Crimes","17"
"2024-04-03","Property_Crimes","218"
"2024-04-03","Violent_Crimes","88"
"2024-04-03","Other_Crimes","66"
"2024-04-03","Drug_and_Vice_Crimes","9"
"2024-04-03","Public_Order_Crimes","3"
"2024-04-04","Property_Crimes","179"
"2024-04-04","Violent_Crimes","105"
"2024-04-04","Other_Crimes","75"
"2024-04-04","Drug_and_Vice_Crimes","16"
"2024-04-04","Public_Order_Crimes","4"
"2024-04-05","Property_Crimes","211"
"2024-04-05","Violent_Crimes","114"
"2024-04-05","Other_Crimes","71"
"2024-04-05","Drug_and_Vice_Crimes","11"
"2024-04-05","Public_Order_Crimes","3"
"2024-04-06","Property_Crimes","217"
"2024-04-06","Violent_Crimes","111"
"2024-04-06","Other_Crimes","74"
"2024-04-06","Drug_and_Vice_Crimes","10"
"2024-04-06","Public_Order_Crimes","3"
"2024-04-07","Property_Crimes","176"
"2024-04-07","Violent_Crimes","91"
"2024-04-07","Other_Crimes","52"
"2024-04-07","Public_Order_Crimes","7"
"2024-04-07","Drug_and_Vice_Crimes","2"
"2024-04-08","Property_Crimes","257"
"2024-04-08","Violent_Crimes","104"
"2024-04-08","Other_Crimes","77"
"2024-04-08","Drug_and_Vice_Crimes","8"
"2024-04-08","Public_Order_Crimes","4"
"2024-04-09","Property_Crimes","244"
"2024-04-09","Violent_Crimes","126"
"2024-04-09","Other_Crimes","94"
"2024-04-09","Drug_and_Vice_Crimes","13"
"2024-04-09","Public_Order_Crimes","6"
"2024-04-10","Property_Crimes","259"
"2024-04-10","Violent_Crimes","108"
"2024-04-10","Other_Crimes","73"
"2024-04-10","Drug_and_Vice_Crimes","23"
"2024-04-10","Public_Order_Crimes","3"
"2024-04-11","Property_Crimes","220"
"2024-04-11","Violent_Crimes","115"
"2024-04-11","Other_Crimes","82"
"2024-04-11","Drug_and_Vice_Crimes","18"
"2024-04-11","Public_Order_Crimes","3"
"2024-04-12","Property_Crimes","241"
"2024-04-12","Violent_Crimes","130"
"2024-04-12","Other_Crimes","61"
"2024-04-12","Drug_and_Vice_Crimes","14"
"2024-04-12","Public_Order_Crimes","4"
"2024-04-13","Property_Crimes","217"
"2024-04-13","Violent_Crimes","94"
"2024-04-13","Other_Crimes","49"
"2024-04-13","Drug_and_Vice_Crimes","11"
"2024-04-13","Public_Order_Crimes","9"
"2024-04-14","Property_Crimes","239"
"2024-04-14","Violent_Crimes","110"
