Year,school_id,School_Name,Report_Type,Admission_Type,Number_Students_Served_Full_Year,October_1_Enrollment,PSSA_ELA_Percent_Students_Below_Basic_Grade_3,PSSA_ELA_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Math_Percent_Students_Below_Basic_Grade_3,PSSA_Math_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Science_Percent_Students_Below_Basic_Grades_4_to_8,PSSA_Science_Percent_Students_Proficient_or_Advanced_Grades_4_to_8,Percent_Metrics_Improving_All_Students,Percent_Students_Attending_at_Least_90_Percent,Number_Dropouts_Grades_7_to_12,Percent_Students_Receiving_Zero_Out_of_School_Suspensions
2022-2023,6230,Fitler Academics Plus School,K-8 School,Citywide,172,163,15.0,20.0,30.0,39.2,35.0,52.4,15.0,14.5,24.5,40.8,85.7,74.4,1,93.0
2022-2023,6250,Charles W. Henry School,K-8 School,Catchment,517,488,8.2,8.5,70.5,67.0,17.7,25.3,61.3,48.4,7.7,74.7,57.1,83.0,2,97.1
2022-2023,6260,Henry H. Houston School,K-8 School,Catchment,390,370,20.0,18.4,56.0,39.0,22.9,45.1,64.6,31.4,33.8,37.8,100.0,77.7,3,96.2
2022-2023,6270,Jenks Academy for Arts and Sciences,K-8 School,Catchment,440,424,15.1,13.0,56.6,51.4,25.5,38.6,52.9,31.1,17.8,58.9,85.7,75.2,1,97.1
2022-2023,6310,John F. McCloskey School,K-8 School,Catchment,274,250,,19.5,,30.3,,62.6,,9.0,33.3,37.7,90.0,70.1,0,91.2
2022-2023,6320,Thomas Mifflin School,K-8 School,Catchment,360,332,16.7,11.2,50.0,40.5,29.3,47.5,46.3,22.1,21.8,45.5,71.4,58.9,1,88.6
2022-2023,6350,Samuel Pennypacker School,K-8 School,Catchment,384,325,45.7,28.3,14.3,21.4,78.4,78.3,5.4,4.2,47.6,23.8,71.4,64.1,0,95.1
2022-2023,6360,Theodore Roosevelt School,K-8 School,Catchment,570,448,57.6,42.0,15.2,16.4,80.0,84.6,8.6,4.0,56.0,19.0,50.0,22.6,5,94.6
2022-2023,6380,Shawmont School,K-8 School,Catchment,437,390,25.6,15.3,41.0,50.5,47.5,41.7,35.0,25.2,20.3,50.0,35.7,67.7,0,97.9
2022-2023,6390,Edward T. Steel School,K-8 School,Catchment,411,321,43.3,38.9,13.3,12.0,82.9,86.0,2.9,1.5,50.7,23.2,64.3,47.9,0,96.1
2022-2023,6410,Cook-Wissahickon School,K-8 School,Catchment,439,423,10.3,12.9,43.6,53.0,33.3,41.1,41.0,32.8,24.7,51.6,64.3,72.7,0,93.4
2022-2023,6440,Anna L. Lingelbach School,K-8 School,Catchment,327,302,12.9,15.5,71.0,39.9,28.1,52.0,37.5,19.4,26.7,38.3,92.9,74.9,0,99.1
2022-2023,6450,James Dobson School,K-8 School,Catchment,250,241,,7.7,,60.1,,28.9,,41.6,11.5,63.5,70.0,75.6,0,96.4
2022-2023,7100,Jay Cooke School,K-8 School,Catchment,437,370,41.0,36.1,15.4,17.9,80.6,75.1,13.9,7.4,49.3,19.4,71.4,58.4,1,100.0
2022-2023,7150,Juniata Park Academy,K-8 School,Catchment,972,869,30.7,26.3,33.0,33.1,61.8,59.7,16.9,16.0,34.6,35.6,57.1,62.4,3,95.6
2022-2023,7270,Thomas K. Finletter School,K-8 School,Catchment,700,615,22.0,23.1,30.5,31.7,47.5,64.8,19.7,13.6,36.4,31.0,78.6,72.6,1,94.0
2022-2023,7280,Benjamin Franklin School,K-8 School,Catchment,689,605,37.3,31.9,23.5,24.7,59.3,66.7,9.3,8.3,45.8,23.7,64.3,65.0,1,95.4
2022-2023,7290,Allen M. Stearne School,K-8 School,Catchment,437,380,29.3,34.9,14.6,11.9,78.6,81.4,4.8,4.0,49.4,24.7,92.9,51.5,0,82.4
2022-2023,7300,Francis Hopkinson School,K-8 School,Catchment,688,601,26.9,23.1,14.9,26.8,52.9,59.3,25.0,12.5,36.4,33.3,42.9,57.6,6,93.0
2022-2023,7390,Andrew J. Morrison School,K-8 School,Catchment,580,525,32.7,33.4,21.2,19.5,73.6,73.6,7.6,6.4,50.5,22.4,57.1,62.4,0,95.2
